,id,name,beginYear,endYear,description,countries
105,08aed38e-7e96-439b-8d87-b4f3a531939b,2006 Event 1,2006,2006,"January 16: Ellen Johnson Sirleaf becomes President of Liberia, and thus Africa's first elected female head of state.","[{'id': 'c25c8e43-7787-4868-bbf5-771d5ba82710', 'name': 'Liberia'}]"
106,08c23f6d-39a7-4669-a0be-001dfe23a65b,2019 Event 50,2019,2019,Japan and South Korea trade dispute.,[]
107,08d7ccf1-63c7-4065-b291-3de431b22557,1990 Event 8,1990,1990,North and South Yemen unify to form the Republic of Yemen.,[]
108,08db36cc-356e-4872-97b7-07023366e697,1527 Event 1,1527,1527,1527: Protestant Reformation begins in Sweden.,[]
109,090b0093-6931-4d36-b4dd-4cf2ff4f31b9,2005 Event 14,2005,2005,July 28: The Provisional Irish Republican Army ends its military campaign in Northern Ireland.,[]
110,090c92d3-9530-48e9-99a1-64806b39da24,1603 Event 1,1603,1603,"1603: First permanent Dutch trading post is established in Banten, West Java.&#91;2&#93; First successful VOC privateering raid on a Portuguese ship.",[]
111,09210654-0424-45c3-aa8d-7bb4944fc73c,1918 Event 9,1918,1918,July 16 – 17: Assassination of Tsar Nicholas II and his family.,[]
112,0922b1db-d4f5-4e50-a98b-5031a7fb6712,2011 Event 11,2011,2011,November 18: Mojang released Minecraft.,[]
113,0930b183-0129-4a49-9dfe-f6acf71ebeed,1831 Event 1,1831,1831,"[[August 22: Nat Turner and a band of slaves lead an insurrection in Southampton County, Virginia. The rebellion is put to an end two days later. As many as two hundred African Americans, including innocent victims, died as a result.&#91;6&#93;",[]
114,0941e83a-12a8-451b-8e2c-28975f68c858,1977 Event 12,1977,1977,September 5: Voyager 1 launched by NASA.,[]
115,0944a9e1-ed9c-48bf-affb-35415cb34728,2006 Event 7,2006,2006,May 5: The first episode of Mickey Mouse Clubhouse airs on Disney Channel.,[]
116,098e14b0-ec3d-4589-b665-d615082a75e2,1636 Event 1,1636,1636,1636: The Portuguese are expelled again from their Solor fort by the Dutch following a reoccupation.,[]
117,09a70229-4f1a-4403-b79e-79fad32a01b3,1905 Event 4,1905,1905,September 5: The Russo-Japanese War ends in Japanese victory.,[]
118,09abf07d-6708-4055-868e-ce5b483e7bca,2022 Event 28,2022,2022,"September 8: Elizabeth II dies, aged 96, and is succeeded by her son Charles III.",[]
119,09b9fcf8-8e1a-4125-83dc-b6558a02cc30,2016 Event 27,2016,2016,"Andrei Karlov, the Russian Ambassador to Turkey, is assassinated at an art exhibition in Ankara.",[]
120,09be6367-27fe-4106-90ec-46271f80ca7b,1944 Event 2,1944,1944,February – March: Chechen insurgency ends with deportation of the entire Chechen population.,[]
121,09c285ca-067f-4562-8fde-253c3f1b07d4,2011 Event 6,2011,2011,July 9: Independence of South Sudan.,[]
122,09d8f00b-8b5e-44ba-b3f0-8918a2f9ebb5,1503 Event 1,1503,1503,1503: Leonardo da Vinci begins painting the Mona Lisa and completes it three years later.,[]
123,09e2a683-af5b-4a5b-b896-ea6065cae130,1989 Event 2,1989,1989,"January 7: Emperor Shōwa (Hirohito) dies; his son, Akihito (the Emperor Heisei) becomes Emperor of Japan.",[]
